"方向","优先级","策略","协议类型","端口范围","源/目的地址","描述","修改时间"
"入方向",1,"允许","tcp","5985-5986","0.0.0.0/0","WinRM","2026-05-08 19:21:55"
"入方向",1,"允许","tcp","3389","0.0.0.0/0","windows RDP ","2026-05-08 19:21:02"
"入方向",1,"允许","tcp","9222","0.0.0.0/0","Chrome控制端口","2026-05-08 16:57:22"
"入方向",1,"允许","tcp","9222","172.31.0.0/16","Chrome控制端口","2026-05-08 16:57:22"
"入方向",1,"允许","tcp","8081","172.31.0.0/16","附加服务端口","2026-05-08 16:57:14"
"入方向",1,"允许","tcp","8081","0.0.0.0/0","附加服务端口","2026-05-08 16:57:14"
"入方向",1,"允许","tcp","8080","172.31.0.0/16","VLC服务端口","2026-05-08 16:57:02"
"入方向",1,"允许","tcp","8080","0.0.0.0/0","VLC服务端口","2026-05-08 16:57:02"
"入方向",1,"允许","tcp","8006","172.31.0.0/16","VNC服务端口","2026-05-08 16:56:52"
"入方向",1,"允许","tcp","8006","0.0.0.0/0","VNC服务端口","2026-05-08 16:56:52"
"入方向",1,"允许","tcp","5000","172.31.0.0/16","OSWorld后端服务","2026-05-08 16:56:27"
"入方向",1,"允许","tcp","5000","0.0.0.0/0","OSWorld后端服务","2026-05-08 16:56:27"
"入方向",1,"允许","tcp","80","172.31.0.0/16","HTTP流量","2026-05-08 16:56:15"
"入方向",1,"允许","tcp","80","0.0.0.0/0","HTTP流量","2026-05-08 16:56:15"
"入方向",1,"允许","tcp","22","0.0.0.0/0","SSH访问","2026-05-01 11:54:27"
"入方向",1,"允许","tcp","5910","0.0.0.0/0","NoVNC可视化端口","2026-05-01 11:54:27"
"出方向",1,"允许","tcp","22","0.0.0.0/0","","2026-05-01 15:10:43"
